,title,contents,period,location,page_url
56,정선 함백산야생화축제,“국민 모두의 정원 만항재” 만항재! 구름위의 정원을 걷다,2023.07.29 ~ 2023.08.06,강원특별자치도 정선군 고한읍 고한리 산216-8 만항재 일원,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=7e16f87f-7897-4ad5-8fbb-6ca71c9f7d0d
57,주섬주섬 음악회,"한여름 밤, 아름다운 덕적도 서포리해변에서 즐기는 낭만이 가득한 섬 음악회 ",2023.07.29 ~ 2023.07.29,인천광역시 옹진군 덕적면 덕적남로587번길 15 덕적도 서포리해변 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=0e54a1e3-8ea1-47e4-8c52-d70543f66dfc
58,포세이돈 워터 뮤직 페스티벌 부산,본격 에너지 충전 10000% 흥 넘치는 워터 페스티벌 ,2023.07.29 ~ 2023.07.29,부산광역시 연제구 거제동 1342 부산 아시아드 보조 경기장,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=ffe37925-7c40-44d3-8fa3-6bcb070c6800
59,합천 바캉스 축제,,2023.07.29 ~ 2023.08.06,경상남도 합천군 동부로 39-19   ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=0cb07dbe-6334-4ed2-89cf-eb7a64032f17
60,경포 썸머 페스티벌,아름다운 강릉 경포해수욕장에서 신나는 공연과 함께 재미있는 체험이벤트까지 즐겨보세요 ,2023.07.30 ~ 2023.08.06,강원특별자치도 강릉시 강문동 257-6 강릉 경포해수욕장,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=43eaf698-188c-4b6b-b05f-29f0065ce6ea
61,율봄식물원 봉선화 시즌,봉선화 빛 곱게 물든 율봄식물원의 여름,2023.07.31 ~ 2023.09.10,경기도 광주시 태허정로 267-54   율봄식물원,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=817d85e3-1205-44a3-a701-059936f58acf
62,부산바다축제,"여름은 부산에서, 축제의 바다 속으로!",2023.08.01 ~ 2023.08.06,"부산광역시 사하구 다대동 부산광역시 다대포 해수욕장, 해운대 해수욕장 일원",https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=97898552-1e73-46e2-bba5-ab4f5d0f8670
63,호러 홀로그램 페스티벌,공포 콘텐츠와 실감콘텐츠를 접목한 최첨단 공포 홀로그램 페스티벌을 익산에서 개최,2023.08.01 ~ 2023.08.06,전라북도 익산시 함낭로 207 교도소 세트장  ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=ea1b1692-d2a6-4062-ab31-44b91d01cc79
64,홍천강 별빛음악 맥주축제,,2023.08.01 ~ 2023.08.06,강원특별자치도 홍천군 홍천읍 갈마곡리 도시산림공원 토리숲,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=ca2ec00d-7adc-4134-82b5-50f70d6e262c
65,국제 스페셜 뮤직&아트페스티벌 ,발달장애인과 비장애인이 함께 만들고 즐겨온 전세계유일의 국제 발달장애인문화축제 ,2023.08.02 ~ 2023.08.05,서울특별시 관악구 관악로 1 서울대학교  일원 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=ee531ceb-3767-4bd8-bf73-fcd61a57be5c
66,철원 화강 다슬기축제,,2023.08.03 ~ 2023.08.06,강원특별자치도 철원군 김화읍 청양리 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=01a8ef5f-23f5-42ac-9370-08d99c86f542
67,텐스푼 음악축제,"십시일반, 함께할 때 빛나는 우리의 여름밤!",2023.08.03 ~ 2023.08.05,강원특별자치도 춘천시 춘천로 112 축제극장몸짓  축제극장몸짓 외,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=545f1211-cce2-46b5-b1ab-2039c668f345
68,거문도백도은빛바다체험행사,천혜의 경관을 지닌 거문도를 배경으로 시민과 관광객이 함께 즐기는 체험형 축제,2023.08.04 ~ 2023.08.05,전라남도 여수시 삼호교길 50   ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=0adfacfd-8bf9-4b49-a7dc-79b30060eff8
69,별별놀이터 ,별별 즐거움이 몽땅!,2023.08.04 ~ 2023.08.05,서울특별시 강남구 신사동 ,https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=7c7f5c7a-d82a-4b9d-b1fc-d19405b47c27
70,인천펜타포트 락 페스티벌,"K-ROCK의 발상지, 인천에서 즐기는 국내 대표 아웃도어 음악축제",2023.08.04 ~ 2023.08.06,인천광역시 연수구 센트럴로 350 (송도동),https://korean.visitkorea.or.kr/kfes/detail/fstvlDetail.do?fstvlCntntsId=8e43bab9-8e16-4925-94f9-c03eb7a8e72d
